geracao,mse_treino,mse_validacao,gap_treino_validacao,melhoria,geracoes_sem_melhoria,diversidade,media_genes,desvio_genes,menor_gene,maior_gene,percentual_limites,tempo_parede_geracao_segundos,tempo_cpu_geracao_segundos
1,0.1321020846411054,0.14402481999566924,0.01192273535456384,0.0,0,2.855375477208949,0.07802186551122468,2.8747598140704804,-4.9995187610568825,4.999248268331765,10.00900900900901,0.17220130000350764,0.1875
2,0.09842888068943062,0.10566335259779923,0.007234471908368609,0.03367320395167478,0,2.932420909342255,0.0017466199459608685,2.9800491093730885,-5.0,5.0,15.144144144144144,0.15547370000422234,0.15625
3,0.09842888068943062,0.10566335259779923,0.007234471908368609,0.0,1,2.9724090152834868,0.00934422597019202,3.0564410680342315,-5.0,5.0,18.036036036036034,0.16752339999948163,0.171875
4,0.09842888068943062,0.10566335259779923,0.007234471908368609,0.0,2,2.9618157171839257,-0.015229306298862778,3.1075283041720025,-5.0,5.0,19.81981981981982,0.16371009999420494,0.15625
5,0.0972034899565904,0.10455084621363638,0.007347356257045981,0.0012253907328402258,0,2.919913381685653,0.0236156925244187,3.120770708225502,-5.0,5.0,19.8018018018018,0.1696668000004138,0.171875
6,0.08539198840088083,0.09106519375576808,0.005673205354887245,0.011811501555709564,0,2.893803803255615,-0.013195692954005083,3.118649601954692,-5.0,5.0,20.18918918918919,0.16908880000119098,0.1875
7,0.07910956453521567,0.07854065165501145,-0.0005689128802042198,0.00628242386566516,0,2.7938897371887736,0.03839664484299988,3.103972512025068,-5.0,5.0,20.234234234234233,0.1664770999996108,0.171875
8,0.07910956453521567,0.07854065165501145,-0.0005689128802042198,0.0,1,2.8774798791765623,0.0928949164469655,3.147791027732919,-5.0,5.0,21.63063063063063,0.16747590000159107,0.171875
9,0.060836284806290594,0.0629323121681344,0.0020960273618438052,0.018273279728925076,0,2.8756180504735753,0.0911277161843942,3.1959561497236293,-5.0,5.0,23.18018018018018,0.16567059999943012,0.171875
10,0.060836284806290594,0.0629323121681344,0.0020960273618438052,0.0,1,2.8378359957000967,0.05351655764821421,3.2211587436149443,-5.0,5.0,24.16216216216216,0.16810719999921275,0.171875
11,0.060836284806290594,0.0629323121681344,0.0020960273618438052,0.0,2,2.8312261819876365,-0.00042707659988189045,3.237542606245969,-5.0,5.0,23.945945945945944,0.16253390000201762,0.171875
12,0.05592361379560125,0.061581143976420186,0.005657530180818937,0.004912671010689346,0,2.8662301965284915,0.02974803283158139,3.245945186999955,-5.0,5.0,24.414414414414416,0.16537809999863384,0.171875
13,0.05592361379560125,0.061581143976420186,0.005657530180818937,0.0,1,2.9073411519138905,-0.017194440306315492,3.284598271255144,-5.0,5.0,25.036036036036037,0.1670053999987431,0.1875
14,0.05592361379560125,0.061581143976420186,0.005657530180818937,0.0,2,2.9032127130845145,-0.06435057187483383,3.3032388058628492,-5.0,5.0,26.07207207207207,0.15433520000078715,0.15625
15,0.04216125000544149,0.05048808851889924,0.008326838513457752,0.013762363790159757,0,2.8964192951866097,-0.0803796758851597,3.311247616052493,-5.0,5.0,26.027027027027028,0.1593122000049334,0.171875
16,0.04216125000544149,0.05048808851889924,0.008326838513457752,0.0,1,2.8163722416366577,-0.05725684349879696,3.3390473310977042,-5.0,5.0,26.71171171171171,0.15803980000055162,0.1875
17,0.0365196500700968,0.04499097123311048,0.008471321163013683,0.005641599935344695,0,2.8581373084673696,-0.042086754123634995,3.333796180469855,-5.0,5.0,26.486486486486488,0.15560379999806173,0.15625
18,0.0365196500700968,0.04499097123311048,0.008471321163013683,0.0,1,2.7586738919959277,-0.07784282249096688,3.349503864329527,-5.0,5.0,27.135135135135137,0.15872839999792632,0.171875
19,0.0365196500700968,0.04499097123311048,0.008471321163013683,0.0,2,2.8097877849033583,-0.10325842490931643,3.337224323650826,-5.0,5.0,26.594594594594597,0.1575107999960892,0.15625
20,0.03341720617513754,0.041601738904048294,0.008184532728910753,0.003102443894959256,0,2.5800075289854387,-0.136552653778635,3.35812239378926,-5.0,5.0,26.828828828828826,0.15511100000003353,0.1875
21,0.032051139930471755,0.03784113406428891,0.0057899941338171584,0.0013660662446657867,0,2.5294855859818313,-0.12472056268777318,3.3872630258997627,-5.0,5.0,27.10810810810811,0.15848099999857368,0.15625
22,0.030433184419091396,0.03828413920883451,0.007850954789743111,0.001617955511380359,0,2.4884962587241817,-0.1462653179892941,3.3778999731035064,-5.0,5.0,27.063063063063066,0.15907690000312869,0.1875
23,0.027832974102076705,0.036140043140602866,0.008307069038526162,0.002600210317014691,0,2.2337620194494017,-0.11787618807090697,3.419650464185919,-5.0,5.0,28.702702702702705,0.16015369999513496,0.15625
24,0.02557307523856715,0.03250825185889597,0.006935176620328821,0.0022598988635095553,0,2.1382713240951836,-0.11884291192874813,3.4575671234818874,-5.0,5.0,30.270270270270274,0.16417579999688314,0.1875
25,0.025570755216611857,0.03250829350819177,0.0069375382915799096,2.320021955291851e-06,0,2.1224406711822352,-0.10397578934197489,3.4748590668604593,-5.0,5.0,30.36036036036036,0.15912650000245776,0.15625
26,0.025570755216611857,0.03250829350819177,0.0069375382915799096,0.0,1,2.0828898174542507,-0.12948768598489552,3.4785596050129115,-5.0,5.0,30.47747747747748,0.16378740000072867,0.15625
27,0.025570755216611857,0.03250829350819177,0.0069375382915799096,0.0,2,2.0957632510962156,-0.11096284332161328,3.4888518880366024,-5.0,5.0,30.00900900900901,0.16022420000081183,0.1875
28,0.025379904045389836,0.032208961540694296,0.00682905749530446,0.0001908511712220215,0,2.0395364291408904,-0.12530123470199203,3.532542146051363,-5.0,5.0,31.198198198198195,0.16273569999611937,0.15625
29,0.022324796857271005,0.026241163305929852,0.003916366448658847,0.003055107188118831,0,1.9570622285381947,-0.12164395938341996,3.5230128583356306,-5.0,5.0,30.92792792792793,0.16344930000195745,0.1875
