epoca,mse_treino,mse_validacao,gap_treino_validacao,melhoria,epocas_sem_melhoria,tempo_parede_epoca_segundos,tempo_cpu_epoca_segundos,percentual_saturacao_oculta,camada_1_magnitude_media,camada_1_media,camada_1_desvio,camada_1_menor,camada_1_maior,camada_1_delta_magnitude_media,camada_1_delta_magnitude_maxima,camada_2_magnitude_media,camada_2_media,camada_2_desvio,camada_2_menor,camada_2_maior,camada_2_delta_magnitude_media,camada_2_delta_magnitude_maxima
1,0.173051706637623,0.11724159853014002,-0.05581010810748299,0.0,0,0.43940440000005765,0.421875,0.014287755393627661,0.5171473104921055,-0.027391046265094733,0.642754996027015,-1.604895665946781,1.39650455362983,0.00012032289769288475,0.0019316240716793708,0.6340103899786594,-0.05905923290227772,0.7161461835317111,-1.1824982152817787,1.1436605093151162,0.00047959459434431884,0.0014814814809844966
2,0.08385321519935515,0.07114671253029732,-0.012706502669057831,0.08919849143826786,0,0.43293160000030184,0.4375,0.008572653236176597,0.6316724485535611,-0.03260209709427135,0.7920272493336746,-2.001403201155444,1.9202241672668838,0.00011160450054660987,0.0029197203577273146,0.8228030805117399,-0.03816603441404279,0.9323832978556438,-1.5769761508745137,1.3325715532752553,0.0002488836463634166,0.0014814800118173987
3,0.055330673913139033,0.05439456107931417,-0.0009361128338248662,0.02852254128621612,0,0.4178152999957092,0.40625,0.21860265752250324,0.7218399836610643,-0.028415531992994677,0.9049362049450991,-2.2829554795800426,2.089913256769518,8.806500017072783e-05,0.0034837791921870694,0.9183643280804822,-0.022255287115916764,1.0513219682303183,-1.832812810488698,1.4133427327789048,0.00014873182707172066,0.0014814794174667768
4,0.04304443923648863,0.04423989782218082,0.0011954585856921857,0.012286234676650402,0,0.43488190000061877,0.40625,0.7029575653664809,0.7926095771876625,-0.023101352557762026,0.9930637298166957,-2.783455958359163,2.1969711246407013,7.252180591970245e-05,0.0040452324233911045,0.9741417056034791,-0.005774471083563063,1.1277095363637544,-2.0112082246076826,1.4576579704388182,0.00010909423645168089,0.0014814789487826985
5,0.03572172684821034,0.03761994403402882,0.0018982171858184793,0.0073227123882782935,0,0.4647398000015528,0.4375,1.0787255322188884,0.8494644609950441,-0.01791511302197817,1.068351911694859,-3.2193164902359666,2.536408533972315,6.218635102142603e-05,0.004287311014660765,1.0139641786016536,-0.0033673900040462686,1.1852224120424153,-2.170528482880039,1.565371518331108,8.842631665993656e-05,0.0014814792008727778
6,0.03040216720454452,0.03264658001682243,0.002244412812277906,0.005319559643665817,0,0.4500828000018373,0.4375,1.3830547221031575,0.8958175726277752,-0.013476060058863868,1.133432565553477,-3.605079378609712,2.8414698415428865,5.476372093372057e-05,0.0044884120298615895,1.0442793193188569,0.0032067863166299008,1.2323231470666316,-2.2974802958903155,1.6689307115883512,7.598671354743948e-05,0.0014814812316020227
7,0.0266647858514552,0.028979507044385833,0.002314721192930632,0.0037373813530893196,0,0.47796650000236696,0.453125,1.86455207886841,0.934932421311598,-0.0096606317594344,1.1909315961650464,-3.9467387573843706,3.1142698764213286,4.9178073111157884e-05,0.004693703160886215,1.0685024141022077,0.00843030868177857,1.2719283541157773,-2.4062199041345482,1.7557603080105602,6.674243820100973e-05,0.0014814801132047566
8,0.02392371820850036,0.026229140997804042,0.002305422789303683,0.002741067642954842,0,0.4773790999970515,0.46875,2.3017573939134164,0.968464292532905,-0.006478697404356588,1.2426319602571365,-4.253513565002349,3.3600492153738837,4.477756275736599e-05,0.00499747141369019,1.0885455925126288,0.011968675097110172,1.305857490243475,-2.502158902696593,1.829145618944398,6.004899165520103e-05,0.0014814525973048307
9,0.02180806182232668,0.024205306784612225,0.002397244962285546,0.0021156563861736803,0,0.44227780000073835,0.421875,2.8375482211744534,0.9996141048372802,-0.0037608153990034386,1.2905448190622484,-4.527105097399846,3.580248840891501,4.138952924763969e-05,0.005101484760077058,1.1063744074743445,0.009193390425972427,1.3360212416250048,-2.596314529894386,1.8871285614967992,5.4720891694271845e-05,0.0014814808988614318
10,0.02011355976464167,0.02228574466371637,0.0021721848990747007,0.00169450205768501,0,0.5060328000035952,0.484375,3.2704672096013714,1.0254485231104367,-0.0011870874796210895,1.3331855181794627,-4.787759776311025,3.7891753605887555,3.869131665902973e-05,0.005223403754601843,1.123338550013426,0.014198717932335313,1.3629246612544068,-2.6704317512545277,1.9473742918191166,5.1054033329894105e-05,0.0014814803301259802
