method_is_post,method_is_put,method_is_other,url_length_raw,url_is_absolute,url_parse_error,url_host_present,url_host_is_ip,url_host_non_ascii_count,url_userinfo_present,url_port_present,url_port_valid,url_fragment_present,path_length_raw,path_percent_encoding_count,path_invalid_percent_count,path_non_ascii_count,path_control_char_count,path_digit_ratio,path_special_ratio,path_sql_pattern_count,path_xss_pattern_count,path_traversal_pattern_count,path_shell_metachar_count,path_segment_count,path_double_slash_count,path_extension_like_segment_count,path_hidden_segment_count,path_nested_extension_transition,path_max_segment_length,path_backslash_count,query_present,query_length_raw,query_percent_encoding_count,query_invalid_percent_count,query_non_ascii_count,query_control_char_count,query_digit_ratio,query_special_ratio,query_sql_pattern_count,query_xss_pattern_count,query_traversal_pattern_count,query_shell_metachar_count,query_parameter_count,query_repeated_parameter_count,query_empty_value_count,query_without_equals_count,query_max_name_length,query_max_value_length,body_present,body_length_raw,body_percent_encoding_count,body_invalid_percent_count,body_non_ascii_count,body_control_char_count,body_digit_ratio,body_special_ratio,body_sql_pattern_count,body_xss_pattern_count,body_traversal_pattern_count,body_shell_metachar_count,body_parameter_count,body_repeated_parameter_count,body_empty_value_count,body_without_equals_count,body_max_name_length,body_max_value_length,header_unique_count,header_duplicate_count,header_has_host,header_has_content_type,content_type_is_form_urlencoded,header_has_content_length,content_length_valid,content_length_delta,host_matches_url_host,label
1,0,0,57,1,0,1,0,0,0,1,1,0,36,0,0,0,0,0.027777777777777776,0.1111111111111111,0,0,0,0,3,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0.25,0.25,0,0,0,0,1,0,0,0,2,1,12,0,1,1,1,1,1,0,1,0
1,0,0,57,1,0,1,0,0,0,1,1,0,36,0,0,0,0,0.027777777777777776,0.1111111111111111,0,0,0,0,3,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0.20000000000000001,0.20000000000000001,0,0,0,0,1,0,0,0,3,1,12,0,1,1,1,1,1,0,1,1
0,0,0,109,1,0,1,0,0,0,1,1,0,36,0,0,0,0,0.027777777777777776,0.1111111111111111,0,0,0,0,3,0,1,0,0,19,0,1,51,3,0,0,0,0.46666666666666667,0.1111111111111111,0,0,0,0,1,0,0,0,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,293,1,0,1,0,0,0,1,1,0,28,0,0,0,0,0.035714285714285712,0.14285714285714285,0,0,0,0,3,0,1,0,0,10,0,1,243,2,0,0,0,0.14225941422594143,0.11715481171548117,0,0,0,12,13,0,0,0,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,201,1,0,1,0,0,0,1,1,0,26,0,0,0,0,0.038461538461538464,0.15384615384615385,0,0,0,0,3,0,1,0,0,9,0,1,153,14,0,0,0,0.20000000000000001,0.152,0,0,0,3,3,0,0,0,6,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,121,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,1,72,2,0,1,0,0.10294117647058823,0.14705882352941177,0,0,0,4,5,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,87,1,0,1,0,0,0,1,1,0,26,0,0,0,0,0.038461538461538464,0.15384615384615385,0,0,0,0,3,0,1,0,0,9,0,1,39,0,0,0,0,0.12820512820512819,0.12820512820512819,0,0,0,2,3,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,83,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,1,34,0,0,0,0,0,0.029411764705882353,0,0,0,0,1,0,0,0,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
1,0,0,48,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0.030303030303030304,0,0,0,0,1,0,0,0,8,24,12,0,1,1,1,1,1,0,1,0
0,0,0,58,1,0,1,0,0,0,1,1,0,37,0,0,0,0,0.027027027027027029,0.13513513513513514,0,0,0,0,4,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,53,1,0,1,0,0,0,1,1,0,32,0,0,0,0,0.625,0.09375,0,0,0,0,2,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,114,1,0,1,0,0,0,1,1,0,31,0,0,0,0,0.032258064516129031,0.12903225806451613,0,0,0,0,3,0,1,0,0,14,0,1,61,0,0,0,0,0.11475409836065574,0.14754098360655737,0,0,0,4,5,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,39,1,0,1,0,0,0,1,1,0,18,0,0,0,0,0.055555555555555552,0.16666666666666666,0,0,0,0,2,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,295,1,0,1,0,0,0,1,1,0,28,0,0,0,0,0.035714285714285712,0.14285714285714285,0,0,0,0,3,0,1,0,0,10,0,1,245,2,0,0,0,0.13692946058091288,0.11618257261410789,0,0,0,12,13,0,0,0,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,67,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,1,18,0,0,0,0,0.055555555555555552,0.055555555555555552,0,0,0,0,1,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,49,1,0,1,0,0,0,1,1,0,28,0,0,0,0,0.035714285714285712,0.14285714285714285,0,0,0,0,3,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,58,1,0,1,0,0,0,1,1,0,37,0,0,0,0,0.027027027027027029,0.13513513513513514,0,0,0,0,4,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
0,0,0,74,1,0,1,0,0,0,1,1,0,53,0,0,0,0,0.37735849056603776,0.11320754716981132,0,0,0,0,4,0,2,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
0,0,0,62,1,0,1,0,0,0,1,1,0,36,0,0,0,0,0.027777777777777776,0.1111111111111111,0,0,0,0,3,0,1,0,0,19,0,1,4,0,0,0,0,0.25,0.25,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0
1,0,0,48,1,0,1,0,0,0,1,1,0,27,0,0,0,0,0.037037037037037035,0.14814814814814814,0,0,0,0,3,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0.058823529411764705,0.058823529411764705,0,0,0,0,1,0,0,0,2,14,12,0,1,1,1,1,1,0,1,0
0,0,0,373,1,0,1,0,0,0,1,1,0,28,0,0,0,0,0.035714285714285712,0.14285714285714285,0,0,0,0,3,0,1,0,0,10,0,1,323,13,0,3,0,0.11447811447811448,0.14141414141414141,2,0,0,14,13,0,0,0,9,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,1,1
