categoria,campo,normal_ocorrencias,normal_percentual,anomalo_ocorrencias,anomalo_percentual,diferenca_anomalo_menos_normal_pp,normal_metodos,anomalo_metodos,normal_formas_valores,anomalo_formas_valores,comparacao
estrutura,body,8000,22.2222,9977,39.8045,17.5823,POST,POST|PUT,texto/simbolos=8000; comprimento:33-128=4000; percent-encoded=3197; comprimento:129-512=2000; comprimento:1-8=1000; comprimento:9-32=1000,texto/simbolos=9977; percent-encoded=7588; comprimento:33-128=5292; comprimento:129-512=3154; comprimento:9-32=805; comprimento:1-8=646; comprimento:>512=80,mais frequente no anômalo
estrutura,body.parameters,8000,22.2222,9977,39.8045,17.5823,POST,POST|PUT,comprimento:1-8=8000; alfanumerico=8000,comprimento:1-8=9977; alfanumerico=9977,mais frequente no anômalo
parametro_body,body_param:B1,5000,13.8889,6661,26.5749,12.686,POST,POST|PUT,comprimento:9-32=4000; alfanumerico=3497; texto/simbolos=1503; contem-espaco=1503; contem-byte-nao-ascii=1000; comprimento:1-8=1000,comprimento:9-32=5135; alfanumerico=4222; texto/simbolos=2430; contem-espaco=1995; contem-byte-nao-ascii=1299; comprimento:1-8=1298; comprimento:33-128=206; contem-aspas=202; percent-encoded=176; contem-ponto-e-virgula=88; contem-marcacao-angle-brackets=71; contem-parenteses=66,mais frequente no anômalo
parametro_body,body_param:B1A,0,0.0,410,1.6357,1.6357,,POST,,comprimento:9-32=317; alfanumerico=247; texto/simbolos=163; contem-espaco=163; contem-byte-nao-ascii=95; comprimento:1-8=93,somente no anômalo
parametro_body,body_param:B2,1000,2.7778,514,2.0507,-0.7271,POST,POST|PUT,comprimento:9-32=1000; texto/simbolos=1000; contem-espaco=1000,texto/simbolos=506; contem-espaco=376; comprimento:33-128=245; contem-aspas=205; percent-encoded=201; comprimento:9-32=183; contem-ponto-e-virgula=113; contem-parenteses=100; contem-marcacao-angle-brackets=77; comprimento:1-8=64; comprimento:129-512=22; email=8,mais frequente no normal
parametro_body,body_param:B2A,0,0.0,451,1.7993,1.7993,,POST,,comprimento:9-32=451; texto/simbolos=451; contem-espaco=451,somente no anômalo
parametro_body,body_param:apellidos,2000,5.5556,2761,11.0154,5.4598,POST,POST|PUT,comprimento:9-32=1643; texto/simbolos=1606; contem-espaco=1606; contem-byte-nao-ascii=507; alfanumerico=394; comprimento:1-8=357; contem-aspas=11,comprimento:9-32=2314; texto/simbolos=2310; contem-espaco=2278; contem-byte-nao-ascii=615; alfanumerico=449; comprimento:1-8=414; contem-aspas=41; comprimento:33-128=29; percent-encoded=19; contem-ponto-e-virgula=17; contem-marcacao-angle-brackets=13; contem-parenteses=11,mais frequente no anômalo
parametro_body,body_param:apellidosA,0,0.0,68,0.2713,0.2713,,POST,,comprimento:9-32=57; texto/simbolos=56; contem-espaco=56; contem-byte-nao-ascii=15; alfanumerico=12; comprimento:1-8=11,somente no anômalo
parametro_body,body_param:cantidad,1000,2.7778,1366,5.4498,2.672,POST,POST|PUT,comprimento:1-8=1000; inteiro=1000,comprimento:1-8=1288; inteiro=1263; texto/simbolos=98; contem-aspas=55; contem-espaco=47; comprimento:33-128=43; percent-encoded=35; comprimento:9-32=29; contem-ponto-e-virgula=25; contem-parenteses=20; contem-marcacao-angle-brackets=18; comprimento:129-512=6,mais frequente no anômalo
parametro_body,body_param:cantidadA,0,0.0,75,0.2992,0.2992,,POST,,comprimento:1-8=75; inteiro=75,somente no anômalo
