nome_feature,origem,tipo,dataset,quantidade_total,quantidade_valida,quantidade_ausente,percentual_valido,minimo,maximo,media,mediana,desvio_padrao,p01,p05,p25,p75,p95,p99,quantidade_zero,quantidade_nao_zero,percentual_nao_zero,quantidade_distintos,frequencias
method_is_get,method,binaria,normal,36000,36000,0,100,0,1,0.777778,1,0.41574,0,0,1,1,1,1,8000,28000,77.777778,2,0=8000; 1=28000
method_is_get,method,binaria,anomalo,25065,25065,0,100,0,1,0.601955,1,0.489495,0,0,0,1,1,1,9977,15088,60.195492,2,0=9977; 1=15088
method_is_post,method,binaria,normal,36000,36000,0,100,0,1,0.222222,0,0.41574,0,0,0,0,1,1,28000,8000,22.222222,2,0=28000; 1=8000
method_is_post,method,binaria,anomalo,25065,25065,0,100,0,1,0.382206,0,0.485927,0,0,0,1,1,1,15485,9580,38.220626,2,0=15485; 1=9580
method_is_put,method,binaria,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,0=36000
method_is_put,method,binaria,anomalo,25065,25065,0,100,0,1,0.015839,0,0.124852,0,0,0,0,0,1,24668,397,1.583882,2,0=24668; 1=397
method_is_other,method,binaria,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,0=36000
method_is_other,method,binaria,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,0=25065
http_version_is_1_0,url,binaria,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,0=36000
http_version_is_1_0,url,binaria,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,0=25065
http_version_is_1_1,url,binaria,normal,36000,36000,0,100,1,1,1,1,0,1,1,1,1,1,1,0,36000,100,1,1=36000
http_version_is_1_1,url,binaria,anomalo,25065,25065,0,100,1,1,1,1,0,1,1,1,1,1,1,0,25065,100,1,1=25065
http_version_is_2,url,binaria,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,0=36000
http_version_is_2,url,binaria,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,0=25065
http_version_is_other,url,binaria,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,0=36000
http_version_is_other,url,binaria,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,0=25065
url_length_raw,url,contagem,normal,36000,36000,0,100,39,358,69.985944,49.5,59.407623,39,44,48,58,288,316,0,36000,100,124,
url_length_raw,url,contagem,anomalo,25065,25065,0,100,22,886,97.611769,55,91.572522,26,40,48,113,314,375,0,25065,100,416,
url_length_decoded_once,url,contagem,normal,36000,36000,0,100,39,349,69.454056,49.5,57.626848,39,44,48,58,280,307,0,36000,100,118,
url_length_decoded_once,url,contagem,anomalo,25065,25065,0,100,22,662,93.806623,55,83.19883,26,40,48,105,305,348,0,25065,100,367,
url_percent_encoding_count,url,contagem,normal,36000,36000,0,100,0,12,0.265944,0,0.990845,0,0,0,0,3,5,32803,3197,8.880556,11,
url_percent_encoding_count,url,contagem,anomalo,25065,25065,0,100,0,114,1.902573,0,7.050863,0,0,0,1,10,19,17652,7413,29.575105,34,
url_invalid_percent_count,url,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
url_invalid_percent_count,url,contagem,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,
url_non_ascii_count,url,contagem,normal,36000,36000,0,100,0,5,0.109861,0,0.457727,0,0,0,0,1,3,33484,2516,6.988889,6,
url_non_ascii_count,url,contagem,anomalo,25065,25065,0,100,0,6,0.206383,0,0.599401,0,0,0,0,1,3,21665,3400,13.564732,7,
url_control_char_count,url,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
url_control_char_count,url,contagem,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,
url_alpha_ratio,url,continua,normal,36000,36000,0,100,0.669091,0.804878,0.733114,0.729167,0.025618,0.681818,0.681818,0.723404,0.742424,0.77193,0.804878,0,36000,100,não calculado,
url_alpha_ratio,url,continua,anomalo,25065,25065,0,100,0.233668,0.843373,0.714353,0.729167,0.066728,0.401032,0.590909,0.711409,0.741935,0.772152,0.807229,0,25065,100,não calculado,
url_digit_ratio,url,continua,normal,36000,36000,0,100,0.04878,0.173285,0.103601,0.104167,0.017697,0.054545,0.086207,0.096154,0.106383,0.136364,0.14539,0,36000,100,não calculado,
url_digit_ratio,url,continua,anomalo,25065,25065,0,100,0.033708,0.560976,0.116806,0.102564,0.065683,0.051282,0.060241,0.09434,0.114943,0.234775,0.45283,0,25065,100,não calculado,
url_special_ratio,url,continua,normal,36000,36000,0,100,0.124224,0.185841,0.163285,0.163265,0.011356,0.134146,0.140351,0.156863,0.170213,0.181818,0.181818,0,36000,100,não calculado,
url_special_ratio,url,continua,anomalo,25065,25065,0,100,0.108434,0.354167,0.168841,0.166667,0.026181,0.128571,0.138889,0.154098,0.174603,0.212766,0.283391,0,25065,100,não calculado,
url_entropy,url,continua,normal,36000,36000,0,100,4.060099,5.227464,4.371498,4.292525,0.223586,4.060099,4.161313,4.258353,4.363521,5.002348,5.112674,0,36000,100,não calculado,
url_entropy,url,continua,anomalo,25065,25065,0,100,3.481715,5.407986,4.500788,4.31908,0.333902,3.80872,4.118787,4.286792,4.750223,5.122409,5.234007,0,25065,100,não calculado,
url_max_repeat_run,url,contagem,normal,36000,36000,0,100,2,5,2.012472,2,0.120807,2,2,2,2,2,3,0,36000,100,4,
url_max_repeat_run,url,contagem,anomalo,25065,25065,0,100,2,4,2.02326,2,0.161708,2,2,2,2,2,3,0,25065,100,3,
url_sql_pattern_count,url,contagem,normal,36000,36000,0,100,0,1,0.000056,0,0.007453,0,0,0,0,0,0,35998,2,0.005556,2,
url_sql_pattern_count,url,contagem,anomalo,25065,25065,0,100,0,2,0.062916,0,0.309809,0,0,0,0,0,2,23952,1113,4.440455,3,
url_xss_pattern_count,url,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
url_xss_pattern_count,url,contagem,anomalo,25065,25065,0,100,0,2,0.026092,0,0.219618,0,0,0,0,0,2,24697,368,1.468183,3,
url_traversal_pattern_count,url,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
url_traversal_pattern_count,url,contagem,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,
url_shell_metachar_count,url,contagem,normal,36000,36000,0,100,0,13,0.945722,0,2.851237,0,0,0,0,12,12,31000,5000,13.888889,6,
url_shell_metachar_count,url,contagem,anomalo,25065,25065,0,100,0,17,2.008139,0,3.931674,0,0,0,2,12,14,17657,7408,29.555157,16,
path_length_raw,path,contagem,normal,36000,36000,0,100,18,37,28.416667,27,4.19242,18,23,26.75,29.25,37,37,0,36000,100,12,
path_length_raw,path,contagem,anomalo,25065,25065,0,100,1,66,29.066707,28,7.279105,1,19,27,31,42,55,0,25065,100,63,
path_length_decoded_once,path,contagem,normal,36000,36000,0,100,18,37,28.416667,27,4.19242,18,23,26.75,29.25,37,37,0,36000,100,12,
path_length_decoded_once,path,contagem,anomalo,25065,25065,0,100,1,66,29.066707,28,7.279105,1,19,27,31,42,55,0,25065,100,63,
path_percent_encoding_count,path,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
path_percent_encoding_count,path,contagem,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,
path_invalid_percent_count,path,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
path_invalid_percent_count,path,contagem,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,
path_non_ascii_count,path,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
path_non_ascii_count,path,contagem,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,
path_control_char_count,path,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
path_control_char_count,path,contagem,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,
path_alpha_ratio,path,continua,normal,36000,36000,0,100,0.73913,0.861111,0.815813,0.814815,0.028253,0.73913,0.73913,0.813034,0.829023,0.861111,0.861111,0,36000,100,não calculado,
path_alpha_ratio,path,continua,anomalo,25065,25065,0,100,0,0.933333,0.793765,0.814815,0.125039,0,0.6,0.807692,0.827586,0.861111,0.88,312,24753,98.755236,não calculado,
path_digit_ratio,path,continua,normal,36000,36000,0,100,0.027027,0.086957,0.03959,0.037037,0.015113,0.027027,0.027027,0.034195,0.037393,0.086957,0.086957,0,36000,100,não calculado,
path_digit_ratio,path,continua,anomalo,25065,25065,0,100,0,0.95,0.051662,0.035714,0.098396,0,0,0.032258,0.037037,0.083333,0.625,1736,23329,93.074008,não calculado,
path_special_ratio,path,continua,normal,36000,36000,0,100,0.111111,0.173913,0.144597,0.148148,0.014856,0.111111,0.111111,0.137931,0.149573,0.173913,0.173913,0,36000,100,não calculado,
path_special_ratio,path,continua,anomalo,25065,25065,0,100,0.05,1,0.154573,0.148148,0.092984,0.090909,0.111111,0.136364,0.15,0.195122,1,0,25065,100,não calculado,
path_entropy,path,continua,normal,36000,36000,0,100,3.555533,4.116265,3.939449,3.998527,0.152369,3.555533,3.614369,3.869331,4.060262,4.116265,4.116265,0,36000,100,não calculado,
path_entropy,path,continua,anomalo,25065,25065,0,100,0,4.803023,3.955701,4.018082,0.463456,0,3.550341,3.940351,4.078419,4.239094,4.55964,265,24800,98.942749,não calculado,
path_max_repeat_run,path,contagem,normal,36000,36000,0,100,1,2,1.083333,1,0.276385,1,1,1,1,2,2,0,36000,100,2,
path_max_repeat_run,path,contagem,anomalo,25065,25065,0,100,1,2,1.031638,1,0.175034,1,1,1,1,1,2,0,25065,100,2,
path_sql_pattern_count,path,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
path_sql_pattern_count,path,contagem,anomalo,25065,25065,0,100,0,1,0.000519,0,0.022768,0,0,0,0,0,0,25052,13,0.051865,2,
path_xss_pattern_count,path,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
path_xss_pattern_count,path,contagem,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,
path_traversal_pattern_count,path,contagem,normal,36000,36000,0,100,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,1,
path_traversal_pattern_count,path,contagem,anomalo,25065,25065,0,100,0,0,0,0,0,0,0,0,0,0,0,25065,0,0,1,
