nome_feature,origem,tipo,descricao,forma_calculo,aplicabilidade,observacoes_limitacoes,status
method_is_get,method,binaria,Indica se o método é GET.,1 quando o método é GET; 0 caso contrário.,todas as requisições,Codificação one-hot evita impor ordem entre métodos. PUT pode refletir desenho do corpus e não deve ser tratado automaticamente como ataque.,candidata; decisão pendente
method_is_post,method,binaria,Indica se o método é POST.,1 quando o método é POST; 0 caso contrário.,todas as requisições,Codificação one-hot evita impor ordem entre métodos. PUT pode refletir desenho do corpus e não deve ser tratado automaticamente como ataque.,candidata; decisão pendente
method_is_put,method,binaria,Indica se o método é PUT.,1 quando o método é PUT; 0 caso contrário.,todas as requisições,Codificação one-hot evita impor ordem entre métodos. PUT pode refletir desenho do corpus e não deve ser tratado automaticamente como ataque.,candidata; decisão pendente
method_is_other,method,binaria,Indica se o método é diferente de GET/POST/PUT.,1 quando o método é diferente de GET/POST/PUT; 0 caso contrário.,todas as requisições,Codificação one-hot evita impor ordem entre métodos. PUT pode refletir desenho do corpus e não deve ser tratado automaticamente como ataque.,candidata; decisão pendente
http_version_is_1_0,url,binaria,Indicador one-hot da versão HTTP 1.0.,1 quando a versão pertence à categoria 1.0; 0 caso contrário.,todas as requisições,Pode ser constante no CSIC e variar no tráfego real.,candidata; decisão pendente
http_version_is_1_1,url,binaria,Indicador one-hot da versão HTTP 1.1.,1 quando a versão pertence à categoria 1.1; 0 caso contrário.,todas as requisições,Pode ser constante no CSIC e variar no tráfego real.,candidata; decisão pendente
http_version_is_2,url,binaria,Indicador one-hot da versão HTTP 2.,1 quando a versão pertence à categoria 2; 0 caso contrário.,todas as requisições,Pode ser constante no CSIC e variar no tráfego real.,candidata; decisão pendente
http_version_is_other,url,binaria,Indicador one-hot da versão HTTP other.,1 quando a versão pertence à categoria other; 0 caso contrário.,todas as requisições,Pode ser constante no CSIC e variar no tráfego real.,candidata; decisão pendente
url_length_raw,url,contagem,Comprimento bruto. Aplicada a url.,Número de caracteres antes de decodificar.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
url_length_decoded_once,url,contagem,Comprimento após uma decodificação percentual. Aplicada a url.,Número de caracteres após uma aplicação de percent-decoding.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
url_percent_encoding_count,url,contagem,Quantidade de sequências percent-encoded válidas. Aplicada a url.,Contagem de ocorrências %HH.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
url_invalid_percent_count,url,contagem,Sinais de porcentagem sem par hexadecimal válido. Aplicada a url.,Quantidade de '%' menos ocorrências %HH.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
url_non_ascii_count,url,contagem,Caracteres não ASCII após uma decodificação. Aplicada a url.,Contagem de caracteres com código maior que 127.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
url_control_char_count,url,contagem,Caracteres de controle. Aplicada a url.,Contagem de códigos menores que 32 ou iguais a 127.,todas as requisições,Métrica genérica e independente de label. Contagens de padrões dependem da cobertura das expressões e podem produzir falsos positivos.,candidata; decisão pendente
